gen,nevals,time_gen,avg,std,min,max
0,20.0,0.5081786870956421,0.7508333333333336,0.06901589993939403,0.6399999999999999,0.8866666666666667
1,20.0,0.5264696677525839,0.7658333333333334,0.07537222447441909,0.6000000000000001,0.8866666666666667
2,20.0,0.5290575663248698,0.7648333333333334,0.06647869332851444,0.6399999999999999,0.8866666666666667
3,20.0,0.5338657855987549,0.7663333333333333,0.07718592272342585,0.6000000000000001,0.8866666666666667
4,20.0,0.5340274413426717,0.7815000000000001,0.05965153439397476,0.6799999999999999,0.8866666666666667
5,20.0,0.5057875792185466,0.7683333333333333,0.05360866430800984,0.6666666666666667,0.8866666666666667
6,20.0,0.5243922630945842,0.785,0.05095204717291652,0.72,0.8866666666666667
7,20.0,0.5024496952692667,0.7763333333333333,0.07029224708315988,0.5866666666666667,0.8866666666666667
8,20.0,0.5204026063283285,0.7508333333333332,0.07697672808496518,0.6133333333333333,0.8866666666666667
9,20.0,0.5084158976872762,0.7453333333333334,0.0791580697086532,0.5800000000000001,0.8866666666666667
10,20.0,0.5337005138397217,0.777,0.056084262003207694,0.7099999999999999,0.8866666666666667
11,20.0,0.5213950475056967,0.7546666666666666,0.07378196105944719,0.6399999999999999,0.8866666666666667
12,20.0,0.5249035358428955,0.7913333333333331,0.0621861006263547,0.6799999999999999,0.8866666666666667
13,20.0,0.5240654468536377,0.7663333333333333,0.05776292544145905,0.6799999999999999,0.8866666666666667
14,20.0,0.5144949277242025,0.7825,0.05275598965467758,0.6799999999999999,0.8866666666666667
15,20.0,0.5235823233922322,0.7621666666666667,0.06188048516652441,0.6799999999999999,0.8866666666666667
16,20.0,0.49148600896199546,0.7690000000000001,0.06505638579980705,0.6533333333333334,0.8866666666666667
17,20.0,0.49728728930155436,0.7608333333333334,0.06765003900795463,0.63,0.8866666666666667
18,20.0,0.5045350790023804,0.7716666666666666,0.06043821454822918,0.6799999999999999,0.8866666666666667
19,20.0,0.49218183358510337,0.7718333333333335,0.07397052716378931,0.6399999999999999,0.9066666666666667
20,20.0,0.5059829950332642,0.7608333333333335,0.07148329253126993,0.6000000000000001,0.9066666666666667
21,20.0,0.49726752440134686,0.7576666666666666,0.07409528400047548,0.6399999999999999,0.9066666666666667
22,20.0,0.5047269980112712,0.7670000000000001,0.07453485389027369,0.62,0.9066666666666667
23,20.0,0.5211169560750325,0.764,0.059606114526019,0.6699999999999999,0.9066666666666667
24,20.0,0.5185330390930176,0.7705000000000001,0.08055553639846517,0.6399999999999999,0.9066666666666667
25,20.0,0.5165605624516805,0.7620000000000001,0.06814526966545645,0.6399999999999999,0.9066666666666667
26,20.0,0.5137552102406819,0.7673333333333334,0.056770493118246654,0.6799999999999999,0.9066666666666667
27,20.0,0.5092851718266805,0.7646666666666667,0.06688630485964803,0.6000000000000001,0.9066666666666667
28,20.0,0.5038048585255941,0.773,0.05747366546708345,0.7,0.9066666666666667
29,20.0,0.5114342530568441,0.7701666666666667,0.08061206829970034,0.6000000000000001,0.9066666666666667
30,20.0,0.49933860301971433,0.7575,0.05778191758673296,0.6799999999999999,0.9066666666666667
31,20.0,0.5180525223414103,0.7815000000000001,0.07032049645887195,0.6666666666666667,0.9066666666666667
32,20.0,0.5078791459401448,0.7761666666666666,0.058025616948225764,0.69,0.9066666666666667
33,20.0,0.5162030061086019,0.7735,0.07139463876541742,0.6399999999999999,0.9066666666666667
34,20.0,0.5222064415613811,0.7660000000000001,0.06251755309066763,0.6799999999999999,0.9066666666666667
35,20.0,0.502871020634969,0.7631666666666665,0.06679550051379875,0.6499999999999999,0.9066666666666667
36,20.0,0.4994039138158162,0.7843333333333334,0.0504105368174375,0.6666666666666667,0.9066666666666667
37,20.0,0.5259028514226277,0.7691666666666667,0.07364234138350333,0.6399999999999999,0.9066666666666667
38,20.0,0.5174614191055298,0.7595,0.07505016840605877,0.6399999999999999,0.9066666666666667
39,20.0,0.514024035135905,0.7418333333333333,0.06988462714439501,0.6399999999999999,0.9066666666666667
40,20.0,0.4914351145426432,0.7665000000000001,0.0747772618440184,0.62,0.9066666666666667
41,20.0,0.5178509632746379,0.7596666666666667,0.06576811115156377,0.6466666666666667,0.9066666666666667
42,20.0,0.4988006830215454,0.7689999999999999,0.06166306295776537,0.6599999999999999,0.9066666666666667
43,20.0,0.5194233179092407,0.7866666666666667,0.0646185387915539,0.69,0.9066666666666667
44,20.0,0.4907259384791056,0.7393333333333332,0.07802136459543203,0.62,0.9066666666666667
45,20.0,0.524350659052531,0.7643333333333334,0.06526101439603893,0.6399999999999999,0.9066666666666667
46,20.0,0.5198576847712199,0.7820000000000001,0.05711003025349889,0.69,0.9066666666666667
47,20.0,0.5140684286753336,0.7555000000000001,0.06679383704105243,0.6599999999999999,0.9066666666666667
48,20.0,0.5157030344009399,0.761,0.07085274243888597,0.6399999999999999,0.9066666666666667
49,20.0,0.5145192702611288,0.773,0.06687384474599253,0.6399999999999999,0.9066666666666667
50,20.0,0.5209348042805989,0.7813333333333333,0.06065750846625121,0.6799999999999999,0.9066666666666667
51,20.0,0.520466669400533,0.7613333333333333,0.07052501526251363,0.6533333333333334,0.9066666666666667
52,20.0,0.5746474583943685,0.7900000000000001,0.062423286253341946,0.6733333333333333,0.9066666666666667
53,20.0,0.5230079809824626,0.7648333333333335,0.06916546183689598,0.6799999999999999,0.9066666666666667
54,20.0,0.5287553310394287,0.7795,0.07803329061653398,0.6399999999999999,0.9066666666666667
55,20.0,0.5103542963663737,0.7693333333333333,0.07098982712724096,0.6266666666666667,0.9066666666666667
56,20.0,0.5153610785802205,0.7753333333333334,0.06993965653015147,0.6266666666666667,0.9066666666666667
57,20.0,0.5047152757644653,0.7739999999999999,0.07923663574663203,0.6100000000000001,0.9066666666666667
58,20.0,0.5159160534540812,0.7943333333333334,0.05157626499768195,0.72,0.9066666666666667
59,20.0,0.5136701742808024,0.7798333333333333,0.059024241724151896,0.6799999999999999,0.9066666666666667
60,20.0,0.5086222807566325,0.7716666666666666,0.07790663928346828,0.6066666666666667,0.9066666666666667
61,20.0,0.5123226404190063,0.776,0.058931221681625554,0.6799999999999999,0.9066666666666667
62,20.0,0.5211160898208618,0.7711666666666667,0.05819769945815921,0.6666666666666667,0.9066666666666667
63,20.0,0.5267004172007242,0.7725000000000001,0.06441941563776493,0.6566666666666667,0.9066666666666667
64,20.0,0.5079279104868571,0.7735000000000001,0.06675390125927723,0.6366666666666667,0.9066666666666667
65,20.0,0.5008715391159058,0.7703333333333333,0.06874186820595182,0.6399999999999999,0.9066666666666667
66,20.0,0.5133491675059001,0.7713333333333333,0.05891047822284629,0.6933333333333334,0.9066666666666667
67,20.0,0.50706045627594,0.7761666666666668,0.0640769936179212,0.6666666666666667,0.9066666666666667
68,20.0,0.5368270635604858,0.7671666666666666,0.07403659005293714,0.6133333333333333,0.9066666666666667
69,20.0,0.5133491198221842,0.7643333333333334,0.0698259741547991,0.6499999999999999,0.9066666666666667
70,20.0,0.5209087053934733,0.7761666666666668,0.06205978300531408,0.6799999999999999,0.9066666666666667
71,20.0,0.5224056402842204,0.7718333333333333,0.07149572636800672,0.6066666666666667,0.9066666666666667
72,20.0,0.5046261469523112,0.7736666666666666,0.07008645454801601,0.6499999999999999,0.9066666666666667
73,20.0,0.49871431986490883,0.769,0.07555057173105237,0.6000000000000001,0.9066666666666667
74,20.0,0.5192205826441447,0.7775000000000002,0.0634724349619581,0.6799999999999999,0.9066666666666667
75,20.0,0.5150452852249146,0.7651666666666667,0.06620234134832394,0.62,0.9066666666666667
76,20.0,0.4996368964513143,0.7781666666666667,0.05822823866284965,0.6933333333333334,0.9066666666666667
77,20.0,0.5219343026479085,0.755,0.08144868868735022,0.6166666666666667,0.9066666666666667
78,20.0,0.5032471100489299,0.7641666666666668,0.08377798040058021,0.6266666666666667,0.9066666666666667
79,20.0,0.5083349386850993,0.779,0.060222734725166545,0.6766666666666669,0.9066666666666667
80,20.0,0.48673922220865884,0.7611666666666667,0.06427609716423884,0.6499999999999999,0.9066666666666667
81,20.0,0.52050302028656,0.7796666666666667,0.07227954989714129,0.6399999999999999,0.9066666666666667
82,20.0,0.5036064147949219,0.7585000000000001,0.06476002710863478,0.6399999999999999,0.9066666666666667
83,20.0,0.5431591828664144,0.777,0.07434827951383051,0.6799999999999999,0.9066666666666667
84,20.0,0.49379701614379884,0.7878333333333334,0.06163760576502341,0.6399999999999999,0.9066666666666667
85,20.0,0.5148695309956869,0.7635000000000001,0.065042507468407,0.6599999999999999,0.9066666666666667
86,20.0,0.5344329039255779,0.7615,0.0663783348189252,0.6699999999999999,0.9066666666666667
87,20.0,0.5172696193059285,0.7711666666666666,0.06566137880570792,0.6533333333333334,0.9066666666666667
88,20.0,0.49819989999135333,0.7733333333333334,0.07238784428341548,0.6399999999999999,0.9066666666666667
89,20.0,0.5170419375101726,0.7746666666666667,0.058112916904171266,0.6799999999999999,0.9066666666666667
90,20.0,0.5066392024358114,0.7503333333333333,0.07430343195303969,0.6100000000000001,0.9066666666666667
91,20.0,0.5123231410980225,0.7766666666666667,0.07710742866647517,0.6399999999999999,0.9066666666666667
92,20.0,0.5199807405471801,0.7391666666666669,0.0806699379501986,0.62,0.9066666666666667
93,20.0,0.5197083314259847,0.7771666666666668,0.06490398892038747,0.6799999999999999,0.9066666666666667
94,20.0,0.4870248079299927,0.7795,0.07692907989397334,0.5866666666666667,0.9066666666666667
95,20.0,0.5207480112711589,0.7728333333333334,0.0703505113303695,0.6466666666666667,0.9066666666666667
96,20.0,0.528849744796753,0.7891666666666666,0.06124518121633917,0.6799999999999999,0.9066666666666667
97,20.0,0.5315290848414104,0.7665,0.06299448829505291,0.6399999999999999,0.9066666666666667
98,20.0,0.5133524497350057,0.7901666666666667,0.062454205445092184,0.6666666666666667,0.9066666666666667
99,20.0,0.5137172778447469,0.7866666666666667,0.06428236322835547,0.6799999999999999,0.9066666666666667
